nfd-1-cps,nfd-3-pwr,nfd-4-flux,cont air counts,ram-con-lvl,ram-pool-lvl,ram-wtr-lvl
18850000,49.9251,46.0994,349.8920759,0.074801765,1.727650588,0.083472941
18840000,49.9325,46.0971,349.9009448,0.07196458,1.755763193,0.090252395
18840000,49.9504,46.0895,349.9076674,0.069169105,1.779061771,0.096006493
18860000,49.9162,46.0817,349.9122437,0.066415339,1.797546322,0.100735236
18810000,49.9125,46.0633,349.9146736,0.063703284,1.811216846,0.104438623
18830000,49.9211,46.0717,349.9149573,0.061032938,1.820073342,0.107116655
18850000,49.946,46.0705,349.9130946,0.058404302,1.824115811,0.108769331
18830000,49.9254,46.0759,349.9090856,0.055817376,1.823344253,0.109396652
18800000,49.9427,46.0772,349.86456,0.047944977,1.816631041,0.106802896
18810000,49.9326,46.0881,349.8428966,0.045666968,1.76001638,0.103340181
18790000,49.9114,46.0905,349.8407907,0.045601991,1.765504887,0.101635385
18800000,49.9165,46.0873,349.8603356,0.049938733,1.772482624,0.098802353
18810000,49.9294,46.0851,349.8527006,0.056383439,1.780138643,0.095670769
18830000,49.9041,46.0777,349.8884809,0.063570407,1.75621991,0.094795656
18830000,49.9238,46.0664,349.8848139,0.068865973,1.770625701,0.094262443
18850000,49.9157,46.0594,349.8717702,0.075417919,1.768264977,0.094265701
18840000,49.9183,46.0686,349.8587717,0.081829774,1.79359267,0.093767873
18800000,49.9037,46.0553,349.8938693,0.086794208,1.794597557,0.09371086
18790000,49.9288,46.0433,349.9145727,0.089921719,1.807843167,0.093336199
18790000,49.899,46.0539,349.9331652,0.090201448,1.804571222,0.094134118
18790000,49.9252,46.0363,349.8823312,0.087757557,1.787990045,0.094291765
18790000,49.9086,46.0413,349.8560613,0.081317919,1.758316199,0.093613756
18800000,49.9292,46.03,349.8557776,0.07141629,1.732799729,0.09097448
18810000,49.9194,46.0306,349.8796058,0.068836833,1.692004344,0.08759095
18850000,49.8973,46.0281,349.920524,0.061202534,1.673591765,0.084130136
18800000,49.8969,46.0191,349.9567937,0.057036109,1.660673484,0.079489864
18830000,49.9039,46.0141,349.948671,0.05779638,1.667329955,0.075411131
18820000,49.8874,46.0143,349.9886254,0.060608959,1.669981357,0.071050588
18850000,49.8749,46.0174,349.9721418,0.066714389,1.719090136,0.068804615
18830000,49.8742,46.012,349.9983119,0.075469502,1.713123801,0.067553303
18840000,49.8761,46.011,350.0160161,0.080294932,1.717918281,0.067391131
18810000,49.8719,46.0104,350.0187294,0.085939457,1.726279729,0.06866543
18800000,49.8473,46.0136,350.0041824,0.091183258,1.725767421,0.069845158
18820000,49.8376,45.9988,349.9837117,0.095588145,1.733037647,0.071470769
18820000,49.8279,45.9532,349.9476071,0.105976471,1.695114389,0.073289412
18770000,49.8021,45.9124,349.9177211,0.125117285,1.692801719,0.072749593
18740000,49.7884,45.9021,349.9032858,0.145186154,1.679785973,0.073150045
18730000,49.7676,45.8979,349.9247115,0.161410769,1.634203439,0.073711131
18730000,49.7576,45.9009,349.9665895,0.178050769,1.652561086,0.072761448
18750000,49.7484,45.9009,349.9937874,0.192524344,1.658844163,0.070484253
18750000,49.7581,45.9055,349.9971904,0.210006787,1.683599005,0.06697457
18760000,49.7326,45.9023,350.0463961,0.22252905,1.689163439,0.06496362
18750000,49.7151,45.8902,350.021671,0.231466335,1.708755656,0.064740995
18770000,49.7074,45.8708,349.987989,0.230314389,1.696082896,0.06546362
18810000,49.6827,45.8324,349.9577768,0.221878824,1.696112489,0.064762534
18760000,49.679,45.8158,349.9123871,0.211968597,1.682805249,0.065146335
18740000,49.6724,45.8149,349.886866,0.198152941,1.705212398,0.065732308
18690000,49.6565,45.8098,349.863028,0.183016742,1.709845611,0.067588235
18680000,49.6425,45.8057,349.8571198,0.17579086,1.709290498,0.068914932
18680000,49.6155,45.8041,349.8673096,0.165775294,1.73140724,0.068773394
18690000,49.6274,45.803,349.9066322,0.156957828,1.695411855,0.071680271
18700000,49.6204,45.7677,349.9681473,0.148460271,1.659520995,0.073822172
18690000,49.583,45.7466,350.0101217,0.146871222,1.696433213,0.074557104
18720000,49.5954,45.7283,350.0529848,0.142866063,1.715035747,0.073997466
18740000,49.6164,45.7212,350.0344013,0.1461781,1.738152489,0.073155837
18750000,49.5989,45.7124,349.9984848,0.148164796,1.768233303,0.072965068
18750000,49.5838,45.7117,349.9446442,0.151053484,1.795424977,0.071156833
18740000,49.5779,45.7082,349.888797,0.152981267,1.783253394,0.068085068
18690000,49.5679,45.7052,349.8634014,0.155831765,1.776405339,0.06402181
18690000,49.5638,45.7,349.8490853,0.155801357,1.803826425,0.061726968
18680000,49.5642,45.6958,349.8146019,0.154880633,1.817608235,0.059890498
18690000,49.5625,45.6976,349.8241077,0.151267692,1.833254118,0.058808054
18710000,49.5533,45.7026,349.8817756,0.143583167,1.859311403,0.057265068
18690000,49.5237,45.6939,349.946933,0.130545882,1.822830317,0.056360181
18670000,49.5017,45.6528,349.998509,0.122945882,1.776895113,0.055594208
18670000,49.5041,45.6182,350.0186472,0.113157104,1.756740724,0.055244796
18650000,49.4801,45.6134,350.0505736,0.106511403,1.803837557,0.055809593
18650000,49.4713,45.6154,350.0398684,0.100526968,1.795643439,0.056316742
18660000,49.4496,45.6118,349.9762407,0.097230679,1.807230679,0.057238643
18660000,49.4298,45.6109,349.9237516,0.091747783,1.810802624,0.057389321
18630000,49.4274,45.6068,349.8888899,0.088155475,1.794134932,0.057359729
18640000,49.3791,45.6077,349.8488682,0.084926154,1.830902986,0.057583439
18640000,49.4016,45.6019,349.7942017,0.081400362,1.826493846,0.058963439
18610000,49.3788,45.5927,349.7544182,0.079219005,1.841977919,0.05998009
18620000,49.3662,45.5784,349.7127159,0.077604525,1.845376199,0.060500181
18590000,49.3512,45.5297,349.7070897,0.074784706,1.883920633,0.061674027
18640000,49.3535,45.5117,349.7321014,0.066433665,1.882786787,0.062967783
18630000,49.3324,45.504,349.7597562,0.061585973,1.864276742,0.064124615
18630000,49.3198,45.5163,349.8297822,0.059727421,1.90485991,0.06235819
18590000,49.3397,45.6041,349.9024392,0.061987692,1.910008688,0.062892127
18580000,49.3879,45.6032,349.983285,0.067909683,1.878294208,0.063354661
18580000,49.3937,45.6038,350.022934,0.072928416,1.819581176,0.063172851
18580000,49.4003,45.6057,350.0885014,0.080118824,1.8159581,0.063206606
18590000,49.3808,45.6106,350.1273141,0.084224977,1.76179276,0.063590226
18600000,49.4057,45.6108,350.1581437,0.090120995,1.803592579,0.06510181
18580000,49.4012,45.6063,350.1768326,0.095052398,1.845523982,0.066265611
18590000,49.3836,45.6059,350.1540453,0.097349231,1.819288054,0.066842534
18580000,49.3647,45.604,350.1418232,0.098279729,1.870919367,0.066980995
18580000,49.3686,45.6058,350.1101676,0.095180181,1.914412127,0.066061448
18580000,49.3591,45.598,350.0662177,0.089193937,1.977343077,0.066524253
18590000,49.3481,45.5796,350.03654,0.080313756,1.986297195,0.066198733
18630000,49.3512,45.576,350.0542235,0.074395656,1.977427783,0.065337014
18590000,49.3411,45.5569,350.0997741,0.071216742,1.999133032,0.064613394
18580000,49.3474,45.549,350.1356474,0.069202172,1.936003529,0.065471041
18590000,49.3334,45.5475,350.1718025,0.066794751,1.884337919,0.065942715
18590000,49.3338,45.5678,350.1990348,0.062292851,1.828291946,0.065666244
18610000,49.3501,45.5887,350.2323504,0.059448688,1.795635747,0.066419276
18600000,49.3484,45.6056,350.2499624,0.055486968,1.754177557,0.067904163
18600000,49.3732,45.6052,350.2625182,0.053069412,1.785915294,0.070563801
18600000,49.3827,45.6103,350.2807021,0.050151584,1.762842624,0.07140181
18600000,49.388,45.612,350.2896781,0.04670009,1.73928733,0.071769774
18610000,49.3784,45.61,350.2995552,0.044855113,1.760918643,0.072354932
18640000,49.3876,45.6146,350.2881485,0.043034027,1.769615385,0.073204253
18630000,49.3827,45.6126,350.2698609,0.041180362,1.78716362,0.07370914
18610000,49.4017,45.6135,350.2533528,0.03390914,1.760311493,0.074042715
18650000,49.4079,45.6127,350.2603594,0.032072217,1.76918181,0.074716018
18640000,49.4035,45.6093,350.2654424,0.033993394,1.804382896,0.074555294
18640000,49.3987,45.6098,350.2885642,0.038791312,1.782557557,0.074268778
18650000,49.4125,45.6065,350.2847986,0.046642172,1.787635294,0.072295656
18650000,49.4389,45.6062,350.278176,0.049351403,1.746218462,0.070563167
18650000,49.4372,45.6088,350.3006471,0.055147602,1.736729864,0.070324615
18650000,49.4215,45.6121,350.3178359,0.06437991,1.691081357,0.07138543
18640000,49.4281,45.612,350.3291592,0.075338914,1.672975566,0.072284887
18640000,49.4457,45.6134,350.3508636,0.088210317,1.649192217,0.072122353
18650000,49.4536,45.6132,350.3580919,0.100940543,1.630607873,0.071823891
18650000,49.4504,45.6125,350.3721132,0.112041086,1.645372217,0.072283439
18640000,49.4386,45.6129,350.361764,0.114471493,1.666599729,0.074154751
18610000,49.4386,45.6068,350.3599319,0.114509412,1.645241267,0.074234389
18630000,49.4845,45.7074,350.3534845,0.117104977,1.678970226,0.074402172
18630000,49.5463,45.7405,350.3455603,0.130326606,1.750214027,0.073516652
18650000,49.5798,45.7916,350.3396878,0.144678009,1.775811946,0.071307421
18650000,49.5779,45.8086,350.3392893,0.151087873,1.78610724,0.069935475
18650000,49.5775,45.8092,350.3221282,0.159649683,1.782911403,0.067123529
18650000,49.5991,45.8096,350.3287704,0.165821991,1.789205882,0.064561629
18640000,49.6146,45.8127,350.355929,0.176912127,1.788693665,0.063885158
18640000,49.5877,45.8116,350.367082,0.189219819,1.758589955,0.062699638
18660000,49.6058,45.8118,350.3838243,0.202248869,1.785147421,0.061463167
18700000,49.61,45.8183,350.3997639,0.216271312,1.811946787,0.060101719
18680000,49.6145,45.8108,350.4024995,0.220768507,1.848159457,0.058739367
18690000,49.6038,45.811,350.4053927,0.222483439,1.866967783,0.059004072
18690000,49.645,45.8234,350.4071505,0.217268869,1.88512724,0.058712579
18690000,49.6529,45.8365,350.4111395,0.215645339,1.884359457,0.058335747
18740000,49.6698,45.8534,350.4222991,0.207600271,1.930532489,0.058408054
18690000,49.6501,45.8774,350.4141334,0.20038,1.932707692,0.059149502
18690000,49.6799,45.8899,350.400371,0.190795385,1.927908507,0.058794842
18680000,49.6753,45.897,350.3833126,0.176271131,1.92111819,0.05895086
18690000,49.7018,45.899,350.3493643,0.179226787,1.926931493,0.059435113
18690000,49.7108,45.8988,350.313011,0.184857738,1.926049955,0.059392851
18690000,49.6978,45.8978,350.2551068,0.194273213,1.934980814,0.061544163
18700000,49.733,45.8992,350.2165623,0.207238009,1.94222733,0.062356923
18700000,49.7335,45.9033,350.1992417,0.219216561,1.941707602,0.063506244
18750000,49.7208,45.9011,350.1577272,0.230984253,1.932003258,0.063857104
18730000,49.7374,45.9015,350.1258783,0.241838281,1.895694842,0.06438543
18740000,49.7355,45.9008,350.0871764,0.255601357,1.834116923,0.063721538
18740000,49.7326,45.9029,350.0768413,0.259225339,1.808091131,0.060570679
18740000,49.7404,45.9012,350.0876917,0.26389276,1.770872308,0.057325339
18740000,49.7536,45.901,350.1217227,0.253891946,1.714410769,0.054537285
18740000,49.732,45.9,350.1227532,0.248710226,1.698218371,0.052232851
18750000,49.7485,45.9023,350.1496233,0.242431584,2.5,0.050960452
18760000,49.7639,45.9097,350.1858721,0.231817557,2.51,0.051609412
18750000,49.7685,45.9121,350.2122844,0.224344072,2.52,0.053393122
18750000,49.7719,45.9426,350.2342616,0.20939457,2.53,0.054448959
18760000,49.7838,45.9731,350.272903,0.198592036,2.54,0.056842896
18760000,49.791,46.003,350.3239225,0.194853394,2.55,0.05895629
18790000,49.8245,46.0125,350.3884805,0.189556742,2.56,0.060491946
18750000,49.8194,46.0167,350.3983265,0.189580362,2.57,0.06047095
18750000,49.8251,46.013,350.3970651,0.192159095,2.58,0.06026733
18790000,49.8405,46.0099,350.35467,0.194064434,2.59,0.059159729
18790000,49.8416,46.0098,350.3357735,0.191956742,2.6,0.058741267
18790000,49.852,46.0142,350.2983937,0.195321719,2.61,0.057704977
18790000,49.8538,46.0154,350.2612146,0.186682172,2.62,0.058029412
