nfd-1-cps,nfd-3-pwr,nfd-4-flux,cont air counts,ram-con-lvl,ram-pool-lvl,ram-wtr-lvl,,,,,,,,,,,,,,,,,,,
18850000,49.9251,46.0994,349.8920759,0.074801765,1.727650588,0.083472941,,,,,,,,,,,,,,,,,,,4.98E-03
18840000,49.9325,46.0971,349.9009448,0.07196458,1.80592986,0.090252395,,,,,,,,,,,,,,,,,,,
18840000,49.9504,46.0895,349.9076674,0.069169105,1.879395105,0.096006493,,,,,,,,,,,,,,,,,,,
18860000,49.9162,46.0817,349.9122437,0.066415339,1.948046322,0.100735236,,,,,,,,,,,,,,,,,,,
18810000,49.9125,46.0633,349.9146736,0.063703284,2.011883512,0.104438623,,,,,,,,,,,,,,,,,,,
18830000,49.9211,46.0717,349.9149573,0.061032938,2.070906675,0.107116655,,,,,,,,,,,,,,,,,,,
18850000,49.946,46.0705,349.9130946,0.058404302,2.125115811,0.108769331,,,,,,,,,,,,,,,,,,,
18830000,49.9254,46.0759,349.9090856,0.055817376,2.17451092,0.109396652,,,,,,,,,,,,,,,,,,,
18800000,49.9427,46.0772,349.86456,0.047944977,2.217964374,0.106802896,,,,,,,,,,,,,,,,,,,
18810000,49.9326,46.0881,349.8428966,0.045666968,2.21151638,0.103340181,,,,,,,,,,,,,,,,,,,
18790000,49.9114,46.0905,349.8407907,0.045601991,2.267171554,0.101635385,,,,,,,,,,,,,,,,,,,
18800000,49.9165,46.0873,349.8603356,0.049938733,2.324315958,0.098802353,,,,,,,,,,,,,,,,,,,
18810000,49.9294,46.0851,349.8527006,0.056383439,2.382138643,0.095670769,,,,,,,,,,,,,,,,,,,
18830000,49.9041,46.0777,349.8884809,0.063570407,2.408386576,0.094795656,,,,,,,,,,,,,,,,,,,
18830000,49.9238,46.0664,349.8848139,0.068865973,2.472959035,0.094262443,,,,,,,,,,,,,,,,,,,
18850000,49.9157,46.0594,349.8717702,0.075417919,2.520764977,0.094265701,,,,,,,,,,,,,,,,,,,
18840000,49.9183,46.0686,349.8587717,0.081829774,2.596259336,0.093767873,,,,,,,,,,,,,,,,,,,
