,nfd-1-cps,nfd-3-pwr,nfd-4-flux,cont air counts,ram-con-lvl,ram-pool-lvl,ram-wtr-lvl
0,18850000,49.9251,46.0994,349.7614,0.0771,1.7963,0.0721
1,18840000,49.9325,46.0971,349.8853,0.0704,1.4202,0.0909
2,18840000,49.9504,46.0895,349.8807,0.0677,2.0346,0.1115
3,18860000,49.9162,46.0817,350.0423,0.0694,1.9846,0.1058
4,18810000,49.9125,46.0633,349.9583,0.0627,1.8195,0.0969
5,18830000,49.9211,46.0717,350.093,0.0608,1.7375,0.1133
6,18850000,49.946,46.0705,350.0603,0.0518,1.7251,0.1071
7,18830000,49.9254,46.0759,349.771,0.0586,1.6343,0.1103
8,18800000,49.9427,46.0772,349.8219,0.0529,1.9866,0.1016
9,18810000,49.9326,46.0881,349.9018,0.0524,1.6724,0.1024
10,18790000,49.9114,46.0905,349.843,0.0502,1.9327,0.099
11,18800000,49.9165,46.0873,349.8442,0.0459,1.7764,0.1104
12,18810000,49.9294,46.0851,349.4737,0.0471,1.8237,0.0981
13,18830000,49.9041,46.0777,349.9796,0.0389,1.7044,0.0942
14,18830000,49.9238,46.0664,350.0193,0.0372,1.6279,0.0838
15,18850000,49.9157,46.0594,350.087,0.1166,1.7945,0.0863
16,18840000,49.9183,46.0686,350.032,0.0973,1.7966,0.094
17,18800000,49.9037,46.0553,349.8192,0.1053,1.747,0.0931
18,18790000,49.9288,46.0433,349.7016,0.0912,1.8328,0.1028
19,18790000,49.899,46.0539,349.88,0.0784,1.7582,0.0987
20,18790000,49.9252,46.0363,349.5881,0.0736,2.0809,0.0953
21,18790000,49.9086,46.0413,350.0553,0.0841,1.7373,0.0895
22,18800000,49.9292,46.03,350.0116,0.0783,1.6765,0.0901
23,18810000,49.9194,46.0306,350.1507,0.0662,1.7039,0.0883
24,18850000,49.8973,46.0281,349.8065,0.064,1.5621,0.0834
25,18800000,49.8969,46.0191,349.8336,0.0599,1.6049,0.0795
26,18830000,49.9039,46.0141,349.7751,0.0587,1.5714,0.079
27,18820000,49.8874,46.0143,349.8949,0.0596,1.7356,0.0722
28,18850000,49.8749,46.0174,350.1072,0.0605,1.7846,0.0696
29,18830000,49.8742,46.012,350.0591,0.0568,1.5953,0.0671
30,18840000,49.8761,46.011,350.0793,0.0517,1.9068,0.0624
31,18810000,49.8719,46.0104,350.0438,0.1081,1.8074,0.0594
32,18800000,49.8473,46.0136,349.9182,0.1316,1.7509,0.0641
33,18820000,49.8376,45.9988,350.2043,0.118,1.658,0.0723
34,18820000,49.8279,45.9532,349.8586,0.1176,1.6001,0.0865
35,18770000,49.8021,45.9124,349.9129,0.0976,1.4995,0.0794
36,18740000,49.7884,45.9021,349.7823,0.0898,1.8184,0.0754
37,18730000,49.7676,45.8979,349.7324,0.1451,1.7252,0.075
38,18730000,49.7576,45.9009,350.0793,0.1598,1.7526,0.0671
39,18750000,49.7484,45.9009,349.9868,0.2017,1.6708,0.0682
40,18750000,49.7581,45.9055,350.019,0.2666,1.4862,0.0619
41,18760000,49.7326,45.9023,350.0541,0.2725,1.7813,0.0583
42,18750000,49.7151,45.8902,350.0711,0.2204,1.5441,0.0772
43,18770000,49.7074,45.8708,350.2477,0.2093,1.6914,0.0686
44,18810000,49.6827,45.8324,349.9803,0.2279,1.8817,0.0606
45,18760000,49.679,45.8158,349.7719,0.1758,1.6514,0.0627
46,18740000,49.6724,45.8149,349.8104,0.21,1.8028,0.063
47,18690000,49.6565,45.8098,349.8341,0.1804,1.6562,0.074
48,18680000,49.6425,45.8057,349.5922,0.1788,1.7886,0.067
49,18680000,49.6155,45.8041,349.9282,0.1612,1.5403,0.0695
50,18690000,49.6274,45.803,350.1101,0.1744,1.5773,0.0604
51,18700000,49.6204,45.7677,349.9551,0.1554,1.729,0.0778
52,18690000,49.583,45.7466,349.9258,0.1437,1.9052,0.0793
53,18720000,49.5954,45.7283,350.0774,0.1289,1.6798,0.0791
54,18740000,49.6164,45.7212,350.1043,0.1347,1.8169,0.0721
55,18750000,49.5989,45.7124,350.0675,0.1093,1.6085,0.0699
56,18750000,49.5838,45.7117,350.0517,0.1779,1.5528,0.0771
57,18740000,49.5779,45.7082,349.8346,0.16,1.8569,0.0655
58,18690000,49.5679,45.7052,349.8668,0.1754,2.1147,0.0625
59,18690000,49.5638,45.7,349.8689,0.1642,1.7622,0.0594
60,18680000,49.5642,45.6958,349.4565,0.1617,1.7348,0.064
61,18690000,49.5625,45.6976,349.855,0.1399,1.8743,0.057
62,18710000,49.5533,45.7026,350.014,0.1363,1.6651,0.0521
63,18690000,49.5237,45.6939,349.813,0.1298,1.7995,0.0527
64,18670000,49.5017,45.6528,350.0659,0.1168,1.959,0.0626
65,18670000,49.5041,45.6182,350.1053,0.1138,1.906,0.0587
66,18650000,49.4801,45.6134,349.9717,0.1191,1.6104,0.0554
67,18650000,49.4713,45.6154,350.2477,0.102,1.9184,0.0559
68,18660000,49.4496,45.6118,350.1656,0.082,1.6829,0.0538
69,18660000,49.4298,45.6109,349.8353,0.0945,1.5938,0.0566
70,18630000,49.4274,45.6068,349.699,0.0867,1.9352,0.0512
71,18640000,49.3791,45.6077,349.7832,0.0814,1.9101,0.0664
72,18640000,49.4016,45.6019,349.8257,0.0877,1.9681,0.0637
73,18610000,49.3788,45.5927,349.5781,0.0819,1.6817,0.0573
74,18620000,49.3662,45.5784,349.8723,0.0803,1.9622,0.0561
75,18590000,49.3512,45.5297,349.7837,0.0655,1.722,0.0596
76,18640000,49.3535,45.5117,349.8545,0.0776,1.9473,0.0655
77,18630000,49.3324,45.504,349.8149,0.0663,2.0032,0.065
78,18630000,49.3198,45.5163,349.5323,0.0656,1.4986,0.0623
79,18590000,49.3397,45.6041,349.8454,0.0628,2.0662,0.0618
80,18580000,49.3879,45.6032,349.8939,0.0481,2.0372,0.0649
81,18580000,49.3937,45.6038,349.9527,0.0521,1.8897,0.0695
82,18580000,49.4003,45.6057,350.2072,0.0548,1.7952,0.0647
83,18590000,49.3808,45.6106,350.3516,0.1053,1.9157,0.0571
84,18600000,49.4057,45.6108,350.4418,0.1179,1.867,0.053
85,18580000,49.4012,45.6063,350.0411,0.1191,1.4119,0.0715
86,18590000,49.3836,45.6059,350.0757,0.0987,1.5348,0.0664
87,18580000,49.3647,45.604,350.0265,0.0806,1.9831,0.0695
88,18580000,49.3686,45.6058,350.0757,0.093,2.101,0.0731
89,18580000,49.3591,45.598,349.9823,0.075,1.9522,0.07
90,18590000,49.3481,45.5796,350.0632,0.0874,2.4064,0.0683
91,18630000,49.3512,45.576,350.1476,0.0784,1.8162,0.0609
92,18590000,49.3411,45.5569,350.186,0.0654,1.9173,0.061
93,18580000,49.3474,45.549,350.1146,0.0736,2.0485,0.0603
94,18590000,49.3334,45.5475,350.0594,0.0659,1.7845,0.0588
95,18590000,49.3338,45.5678,350.1307,0.0621,1.8967,0.0716
96,18610000,49.3501,45.5887,350.2059,0.0592,1.4838,0.0672
97,18600000,49.3484,45.6056,350.385,0.054,1.7281,0.0756
98,18600000,49.3732,45.6052,350.2735,0.0573,2.0346,0.077
99,18600000,49.3827,45.6103,350.3735,0.0473,1.7189,0.0672
100,18600000,49.388,45.612,350.2341,0.0488,1.9096,0.0661
101,18610000,49.3784,45.61,350.2634,0.0416,1.5518,0.064
102,18640000,49.3876,45.6146,350.2961,0.0438,1.8287,0.0765
103,18630000,49.3827,45.6126,350.2588,0.0421,1.7812,0.0789
104,18610000,49.4017,45.6135,350.2384,0.0369,1.7753,0.0774
105,18650000,49.4079,45.6127,350.2668,0.0362,1.6645,0.067
106,18640000,49.4035,45.6093,350.2297,0.0403,1.7438,0.0764
107,18640000,49.3987,45.6098,350.3475,0.0372,1.9275,0.0813
108,18650000,49.4125,45.6065,350.2362,0.0335,1.7958,0.0771
109,18650000,49.4389,45.6062,350.2797,0.0305,1.7442,0.0638
110,18650000,49.4372,45.6088,350.3278,0.0302,1.8236,0.0723
111,18650000,49.4215,45.6121,350.3504,0.1081,1.821,0.065
112,18640000,49.4281,45.612,350.3444,0.0936,1.5297,0.0646
113,18640000,49.4457,45.6134,350.3004,0.0955,1.4737,0.0762
114,18650000,49.4536,45.6132,350.2355,0.0839,1.6909,0.0684
115,18650000,49.4504,45.6125,350.3889,0.0669,1.6213,0.0827
116,18640000,49.4386,45.6129,350.5264,0.1317,1.669,0.0783
117,18610000,49.4386,45.6068,350.3446,0.1422,1.5375,0.0767
118,18630000,49.4845,45.7074,350.3629,0.1397,1.9114,0.0685
119,18630000,49.5463,45.7405,350.391,0.138,1.7616,0.0691
120,18650000,49.5798,45.7916,350.2725,0.1229,1.7287,0.0652
121,18650000,49.5779,45.8086,350.2903,0.12,1.7682,0.0735
122,18650000,49.5775,45.8092,350.2843,0.115,1.7248,0.0777
123,18650000,49.5991,45.8096,350.386,0.1908,1.6045,0.064
124,18640000,49.6146,45.8127,350.297,0.2282,2.1184,0.0623
125,18640000,49.5877,45.8116,350.3571,0.2085,1.9021,0.0625
126,18660000,49.6058,45.8118,350.423,0.1858,1.6322,0.0575
127,18700000,49.61,45.8183,350.4586,0.1595,1.7363,0.059
128,18680000,49.6145,45.8108,350.385,0.2462,1.6656,0.0552
129,18690000,49.6038,45.811,350.4615,0.2293,1.9587,0.0558
130,18690000,49.645,45.8234,350.3737,0.2201,1.82,0.0705
131,18690000,49.6529,45.8365,350.3663,0.223,1.9165,0.0548
132,18740000,49.6698,45.8534,350.3956,0.2252,2.0912,0.0622
133,18690000,49.6501,45.8774,350.3583,0.2105,2.0059,0.0576
134,18690000,49.6799,45.8899,350.4131,0.1679,1.958,0.0604
135,18680000,49.6753,45.897,350.4329,0.2016,1.7942,0.057
136,18690000,49.7018,45.899,350.4153,0.1715,1.9548,0.0485
137,18690000,49.7108,45.8988,350.3535,0.1577,1.8839,0.0659
138,18690000,49.6978,45.8978,350.3812,0.1298,1.7908,0.0638
139,18700000,49.733,45.8992,350.0899,0.2223,1.7795,0.0625
140,18700000,49.7335,45.9033,350.1273,0.2258,2.1509,0.0589
141,18750000,49.7208,45.9011,350.1048,0.2508,2.0099,0.0673
142,18730000,49.7374,45.9015,350.0728,0.2991,2.0884,0.0677
143,18740000,49.7355,45.9008,350.0721,0.2547,1.7477,0.061
144,18740000,49.7326,45.9029,350.1293,0.2564,1.9879,0.0642
145,18740000,49.7404,45.9012,350.3066,0.2394,1.6563,0.0591
146,18740000,49.7536,45.901,350.1567,0.2218,1.5177,0.0551
147,18740000,49.732,45.9,349.928,0.2531,1.6293,0.0537
148,18750000,49.7485,45.9023,350.0803,0.2689,1.5855,0.0517
149,18760000,49.7639,45.9097,350.0798,0.2335,1.7916,0.0448
150,18750000,49.7685,45.9121,350.3396,0.2102,1.9249,0.0432
151,18750000,49.7719,45.9426,350.3079,0.2555,1.7868,0.0469
152,18760000,49.7838,45.9731,350.2576,0.1782,1.9,0.0631
153,18760000,49.791,46.003,350.2591,0.2056,2.1223,0.0659
154,18790000,49.8245,46.0125,350.4745,0.1829,1.7437,0.0703
155,18750000,49.8194,46.0167,350.3788,0.1416,1.9498,0.0644
156,18750000,49.8251,46.013,350.3105,0.1628,1.6296,0.0596
157,18790000,49.8405,46.0099,350.3821,0.1795,1.915,0.0547
158,18790000,49.8416,46.0098,350.437,0.2426,1.7204,0.0596
159,18790000,49.852,46.0142,350.3119,0.251,1.6592,0.0531
160,18790000,49.8538,46.0154,350.3944,0.1918,1.6573,0.0515
161,18800000,49.8642,46.0429,350.0572,0.1864,1.8934,0.0508
162,18800000,49.9088,46.0798,350.0767,0.1619,1.9012,0.0651
163,18800000,49.9033,46.1039,350.0056,0.1644,1.7991,0.0697
164,18840000,49.9478,46.1031,350.1478,0.1432,1.7808,0.0751
165,18850000,49.9595,46.1058,350.0125,0.1502,1.5305,0.063
166,18810000,49.9725,46.1151,350.0618,0.1494,1.6844,0.0641
167,18800000,50.0003,46.1395,349.8584,0.2121,1.4191,0.0641
168,18800000,50.0011,46.2006,349.8022,0.2193,1.6748,0.0587
169,18800000,49.9652,46.2124,349.7283,0.2048,1.6326,0.0599
170,18800000,50.0373,46.2141,349.7624,0.1803,1.901,0.0582
171,18800000,50.0675,46.2153,349.8324,0.1594,1.7832,0.0576
172,18820000,50.0761,46.2184,349.9799,0.1512,1.9562,0.0499
173,18870000,50.0759,46.2226,349.9306,0.1667,1.5425,0.0623
174,18870000,50.0763,46.2359,349.9717,0.1416,1.5404,0.0586
175,18870000,50.0771,46.2605,349.916,0.1403,1.7227,0.0539
176,18920000,50.0821,46.2963,349.8908,0.1883,1.7532,0.0571
177,18900000,50.1228,46.3175,349.7816,0.2017,1.7019,0.0525
178,18920000,50.0874,46.321,349.7844,0.1918,1.9533,0.0525
179,18910000,50.1118,46.3193,349.7158,0.2018,1.6836,0.0554
180,18860000,50.1598,46.3222,349.5889,0.2003,1.7071,0.0452
181,18890000,50.165,46.3224,349.7878,0.2278,1.7801,0.0479
182,18960000,50.1622,46.3262,350.1154,0.2208,1.7798,0.0461
183,18980000,50.1435,46.3293,350.0901,0.2088,1.5158,0.0545
184,18970000,50.1451,46.3288,350.0793,0.1899,1.5828,0.0546
185,18920000,50.1444,46.3266,349.9715,0.1752,1.7323,0.0533
186,18920000,50.1709,46.3241,349.7643,0.1671,1.8313,0.0464
187,18850000,50.184,46.3257,349.7026,0.1818,1.616,0.0644
188,18850000,50.2007,46.3281,349.8828,0.1585,1.4843,0.0547
189,18910000,50.1968,46.3251,349.8104,0.192,1.6729,0.0532
190,18900000,50.1806,46.3243,349.5543,0.1913,1.548,0.0566
191,18890000,50.1973,46.3267,349.7112,0.1911,1.8711,0.0522
192,18890000,50.2232,46.335,349.9952,0.2228,1.7114,0.0533
193,18900000,50.199,46.3864,349.97,0.2601,1.8525,0.047
194,18900000,50.2335,46.4074,349.6596,0.2251,2.0727,0.0474
195,18920000,50.2483,46.4104,349.9035,0.2397,1.6546,0.0422
196,18920000,50.2789,46.4177,350.1711,0.2085,1.8389,0.0446
197,18910000,50.2743,46.4137,350.0892,0.2118,2.0016,0.0383
198,18920000,50.2927,46.4198,350.1552,0.2118,1.9373,0.054
199,18970000,50.3155,46.4246,350.0716,0.1621,1.8094,0.0527
200,18960000,50.3155,46.4467,349.6539,0.1648,1.8767,0.0479
201,18960000,50.3559,46.5073,349.722,0.1598,1.6013,0.0453
202,18960000,50.3625,46.5192,349.9198,0.1352,1.5734,0.0496
203,18950000,50.3725,46.5197,349.7343,0.2091,2.0396,0.0601
204,18960000,50.4003,46.5233,349.8271,0.1872,1.5857,0.0652
205,18960000,50.4094,46.5251,349.7734,0.2125,1.7873,0.0855
206,18960000,50.4266,46.5253,349.5397,0.177,1.6832,0.0899
207,19000000,50.4372,46.5288,349.9794,0.174,1.814,0.0765
208,19000000,50.4426,46.4867,350.1019,0.1528,1.4999,0.0918
209,19020000,50.3757,46.4146,350.1591,0.1609,1.6487,0.0875
210,19020000,50.3116,46.4157,350.0361,0.1565,1.5219,0.0852
211,19020000,50.3129,46.4148,349.9412,0.1263,1.6392,0.0878
212,19030000,50.3197,46.42,350.2891,0.123,1.4769,0.0818
213,19030000,50.2737,46.4161,350.0447,0.1422,1.673,0.0916
214,18990000,50.2785,46.411,349.8531,0.1282,1.651,0.091
215,19010000,50.2936,46.3996,350.0245,0.1017,1.589,0.0817
216,18980000,50.2709,46.3874,350.2843,0.1099,1.6121,0.0766
217,18980000,50.2645,46.3538,350.16,0.1937,1.8261,0.083
218,18980000,50.2629,46.3431,350.0387,0.1526,1.7951,0.0738
219,18950000,50.2394,46.336,349.8821,0.1465,1.7409,0.0792
220,18940000,50.2438,46.3301,349.699,0.1682,1.5477,0.085
221,18910000,50.2494,46.3292,349.7967,0.2391,1.7706,0.0858
222,18920000,50.2183,46.3277,349.8891,0.1828,1.9487,0.082
223,18950000,50.2302,46.3268,349.5366,0.1894,1.7285,0.0767
224,18950000,50.2449,46.3238,349.7911,0.194,1.5976,0.0812
225,18930000,50.2152,46.3299,350.1322,0.1727,2.065,0.0811
226,18900000,50.2327,46.3364,349.7326,0.1619,1.6619,0.0686
227,18890000,50.2483,46.35,349.8142,0.142,1.4485,0.0681
228,18910000,50.2555,46.3838,349.9727,0.1547,1.9029,0.064
229,18960000,50.2613,46.41,350.1264,0.1216,1.84,0.0659
230,18970000,50.2645,46.4116,350.088,0.1277,1.8561,0.0779
231,18970000,50.2868,46.4153,350.0003,0.1375,2.0244,0.0808
232,18980000,50.3187,46.4196,350.2504,0.1275,1.7395,0.0783
233,18950000,50.3184,46.4188,349.9751,0.1209,1.8107,0.0707
234,18910000,50.3103,46.4152,349.7976,0.1064,1.9834,0.0914
235,18960000,50.3207,46.4195,349.8447,0.1066,1.858,0.0853
236,18960000,50.3402,46.419,349.8797,0.1054,1.8849,0.0737
237,18990000,50.3565,46.4322,349.8521,0.0951,2.0321,0.0892
238,18970000,50.3616,46.4676,349.9042,0.0955,1.9547,0.0873
239,18980000,50.3869,46.5078,349.591,0.0828,1.7809,0.085
240,19000000,50.3924,46.5222,349.819,0.0853,2.0754,0.0761
241,18950000,50.4089,46.5212,350.024,0.0733,1.7643,0.078
242,18970000,50.4144,46.5246,350.1197,0.0611,1.7478,0.069
243,18970000,50.4356,46.5233,350.0796,0.067,2.0214,0.0637
244,19010000,50.4112,46.528,350.0142,0.0668,1.9823,0.0699
245,19030000,50.4461,46.5287,350.2458,0.0683,1.6037,0.0674
246,19030000,50.4207,46.5285,350.0209,0.0545,1.7647,0.0618
247,19030000,50.439,46.5269,349.9758,0.0529,2.2281,0.0738
248,19020000,50.4311,46.5259,350.0747,0.0567,2.0115,0.0709
249,19020000,50.4201,46.5277,350.1399,0.0592,1.7276,0.066
250,19030000,50.4286,46.5287,350.0865,0.1354,1.5389,0.0619
251,19030000,50.4129,46.5299,350.0916,0.1217,2.0114,0.058
252,19030000,50.4288,46.5299,349.9645,0.1129,1.8449,0.0653
253,19010000,50.4423,46.5292,349.8497,0.0995,2.0355,0.0709
254,19030000,50.4215,46.5254,349.7796,0.1116,1.8121,0.0634
255,18960000,50.4057,46.5227,349.585,0.0858,2.0205,0.0628
256,18950000,50.4036,46.5251,349.796,0.0913,1.4922,0.0598
257,18960000,50.426,46.5237,349.9208,0.0856,1.9873,0.055
258,19000000,50.4025,46.4389,349.8968,0.0805,1.847,0.0587
259,19000000,50.3223,46.3323,350.0978,0.063,1.8911,0.0526
260,18970000,50.2448,46.3274,350.0572,0.0751,1.9055,0.0697
261,18970000,50.2596,46.3295,349.9988,0.0714,1.8444,0.0571
262,18980000,50.2299,46.3251,349.9458,0.056,1.7107,0.0607
263,18980000,50.1687,46.2898,349.89,0.0653,1.4457,0.0556
264,18930000,50.1567,46.2401,349.9162,0.1258,2.0597,0.0516
